"","X1","X2"
"117","age:sleep_troublesometimes","-1.8508575957537e-06"
"118","age:sleep_troubleoften","5.4947235750205e-06"
"119","age:sleep_troublealways","1.48710688289113e-05"
"120","age:activityNo","1.5488886036426e-05"
"121","age:tv_hrs2~4hrs","7.36842887716418e-06"
"122","age:tv_hrs5hrs","2.00236089675626e-05"
"123","age:tv_hrs0hr","1.50855827527037e-05"
"124","age:sleep_hr","-1.17928295626584e-06"
"125","age:smokesometimes","-3.93794533508575e-05"
"126","age:smokeno","9.86380686423061e-06"
"127","age:smokemissing","1.83639285009761e-05"
"128","age:I(sleep_hr^2)","-8.64068251680443e-08"
"129","raceother hispanic:eduhs","0.000454682769955069"
"130","racewhite:eduhs","0.000198327298370696"
"131","raceblack:eduhs","-0.00132141754039311"
"132","raceasian:eduhs","-0.00495295672131203"
"133","raceother:eduhs","-0.00519387804680305"
"134","raceother hispanic:eduabove hs","-0.00125615405113539"
"135","racewhite:eduabove hs","-0.000970581775195322"
"136","raceblack:eduabove hs","0.00195703604455561"
"137","raceasian:eduabove hs","-0.00225372184352556"
"138","raceother:eduabove hs","2.61731897102387e-05"
"139","raceother hispanic:marriagewidowed","0.0053021511739177"
"140","racewhite:marriagewidowed","-0.00148940203609312"
"141","raceblack:marriagewidowed","0.00320976382440538"
"142","raceasian:marriagewidowed","-0.00379618515897385"
"143","raceother:marriagewidowed","0.000788257216075076"
"144","raceother hispanic:marriagedivorced","0.000383736241563571"
"145","racewhite:marriagedivorced","-1.67401566202811e-05"
"146","raceblack:marriagedivorced","-0.00057543896036758"
"147","raceasian:marriagedivorced","0.00331997884544058"
"148","raceother:marriagedivorced","-0.0033981951784465"
"149","raceother hispanic:marriagenever_married","-0.00212855795752025"
"150","racewhite:marriagenever_married","-7.87700777023693e-05"
"151","raceblack:marriagenever_married","-0.000668477431742046"
"152","raceasian:marriagenever_married","-0.00651751311456931"
"153","raceother:marriagenever_married","0.00293811856942266"
"154","raceother hispanic:famsize","2.15264112754448e-05"
"155","racewhite:famsize","-0.000110084139251219"
"156","raceblack:famsize","8.34460192054809e-05"
"157","raceasian:famsize","-0.000801807657031314"
"158","raceother:famsize","0.000196125563355049"
"159","raceother hispanic:famincome25k~55k","-0.00326224367054554"
"160","racewhite:famincome25k~55k","-0.000476346284910015"
"161","raceblack:famincome25k~55k","0.000956186985211152"
"162","raceasian:famincome25k~55k","-0.00181907729011825"
"163","raceother:famincome25k~55k","0.00242195153521946"
"164","raceother hispanic:famincome55k~75k","0.00294439291382665"
"165","racewhite:famincome55k~75k","0.000704922619833711"
"166","raceblack:famincome55k~75k","0.000588437384530789"
"167","raceasian:famincome55k~75k","-0.00439075120004731"
"168","raceother:famincome55k~75k","-0.0147146145061855"
"169","raceother hispanic:famincome75k~100k","-0.00620417331863722"
"170","racewhite:famincome75k~100k","0.00035773621170241"
"171","raceblack:famincome75k~100k","0.00150206404097393"
"172","raceasian:famincome75k~100k","-0.00207860108459824"
"173","raceother:famincome75k~100k","-0.00316697724767095"
"174","raceother hispanic:famincomeabove 100k","0.00294247202750127"
"175","racewhite:famincomeabove 100k","-0.00218475559911936"
"176","raceblack:famincomeabove 100k","0.00302478137124217"
"177","raceasian:famincomeabove 100k","-0.00252036964260691"
"178","raceother:famincomeabove 100k","0.000377963555091801"
"179","raceother hispanic:alcohol12yrno","0.000786502578434475"
"180","racewhite:alcohol12yrno","0.00134263367625325"
"181","raceblack:alcohol12yrno","-0.000800412278101507"
"182","raceasian:alcohol12yrno","-0.00569264411601308"
"183","raceother:alcohol12yrno","0.0118698729316288"
"184","raceother hispanic:alcoholfrq","1.49037158773489e-05"
"185","racewhite:alcoholfrq","-1.17784123004712e-05"
"186","raceblack:alcoholfrq","-0.000203513075445629"
"187","raceasian:alcoholfrq","-4.33757926343615e-05"
"188","raceother:alcoholfrq","8.81171921264201e-05"
"189","raceother hispanic:log.grocery","-0.000103646234197514"
"190","racewhite:log.grocery","-0.000136926308293864"
"191","raceblack:log.grocery","3.76119214149182e-05"
"192","raceasian:log.grocery","-0.000429981066020568"
"193","raceother:log.grocery","5.70238546496856e-05"
"194","raceother hispanic:log.eatout","-9.81244847497774e-05"
"195","racewhite:log.eatout","-8.01825944420929e-05"
"196","raceblack:log.eatout","0.000174193634611681"
"197","raceasian:log.eatout","-0.000546733249039932"
"198","raceother:log.eatout","-0.000212432927364652"
"199","raceother hispanic:log.delivery","0.000625537009615657"
"200","racewhite:log.delivery","-0.000189159330368337"
"201","raceblack:log.delivery","-0.000254080270941126"
"202","raceasian:log.delivery","-0.000611929173964854"
"203","raceother:log.delivery","-0.000365721077009815"
"204","raceother hispanic:milkrare","0.00107930745074489"
"205","racewhite:milkrare","-0.00179670178927328"
"206","raceblack:milkrare","0.00130221861338262"
"207","raceasian:milkrare","-0.00424489973922169"
"208","raceother:milkrare","0.00248611644833031"
"209","raceother hispanic:milksometimes","0.000810093796050651"
"210","racewhite:milksometimes","-0.000488079204780565"
"211","raceblack:milksometimes","0.00106221237951264"
"212","raceasian:milksometimes","-0.00551973932124896"
"213","raceother:milksometimes","0.00361160771441202"
"214","raceother hispanic:milkoften","-0.00220643219998022"
"215","racewhite:milkoften","8.83155531535271e-05"
"216","raceblack:milkoften","-0.000366619613440707"
"217","raceasian:milkoften","-0.0017195724949132"
"218","raceother:milkoften","-0.00179865628356583"
"219","racewhite:milkvaried","0.000721444798647606"
"220","raceblack:milkvaried","0.00900978940993791"
"221","raceasian:milkvaried","0.00553782367498952"
"222","raceother hispanic:meals_nothome","-3.9826504010983e-05"
"223","racewhite:meals_nothome","1.95459043548436e-05"
"224","raceblack:meals_nothome","-0.000194058377700958"
"225","raceasian:meals_nothome","-0.000255187745111699"
"226","raceother:meals_nothome","-0.000391438389442443"
"227","raceother hispanic:meals_fastfood","0.000192461231661344"
"228","racewhite:meals_fastfood","0.00017072359281264"
"229","raceblack:meals_fastfood","-0.000332838471822839"
"230","raceasian:meals_fastfood","-0.000539185041042982"
"231","raceother:meals_fastfood","-0.000638508772007594"
"232","raceother hispanic:depressedsometimes","0.000816572980085924"
"233","racewhite:depressedsometimes","-0.000937599265073748"
"234","raceblack:depressedsometimes","-0.00116031903781423"
"235","raceasian:depressedsometimes","0.000115032282404592"
"236","raceother:depressedsometimes","0.00599417570500771"
"237","raceother hispanic:depressedoften","-0.00373099532864873"
"238","racewhite:depressedoften","0.00230785418267332"
"239","raceblack:depressedoften","0.00304990144198209"
"240","raceasian:depressedoften","0.00206148614166436"
"241","raceother:depressedoften","0.00803665996175036"
"242","raceother hispanic:depressedalwyas","-0.00681609944865322"
"243","racewhite:depressedalwyas","0.0028982951408029"
"244","raceblack:depressedalwyas","-0.00601313766627355"
"245","raceasian:depressedalwyas","0.0103671360611275"
"246","raceother:depressedalwyas","-0.00116445981072553"
"247","raceother hispanic:sleep_troublesometimes","0.000942941405734809"
"248","racewhite:sleep_troublesometimes","-0.0010542767674687"
"249","raceblack:sleep_troublesometimes","0.00180153078636349"
"250","raceasian:sleep_troublesometimes","-0.00249930188581564"
"251","raceother:sleep_troublesometimes","-0.00192514458852735"
"252","raceother hispanic:sleep_troubleoften","-0.00564762126736826"
